origem,destino,tamanho,sha256,motivo
.codex/agents/camilo.toml,docs/archive/ai-governance/legacy-agents/codex/camilo.toml,14963,1dd1f68de464d6d67a835f819fba6c125cae699abfe4c0db95cbe282bbb49cab,"persona legada, fora da descoberta ativa"
.codex/agents/claudete.toml,docs/archive/ai-governance/legacy-agents/codex/claudete.toml,12899,d0c4d1a1da5056783a3f5f4315d23f4cffa227fa773d385e476163e7a72cf920,"persona legada, fora da descoberta ativa"
.codex/agents/juninho.toml,docs/archive/ai-governance/legacy-agents/codex/juninho.toml,9299,767f5ff1ed4fdb0e477bc40015a8f5dd7017dc2abe74a980cc192998954dc1b3,"persona legada, fora da descoberta ativa"
.codex/agents/lia.toml,docs/archive/ai-governance/legacy-agents/codex/lia.toml,10640,80214f288c9a8faf8486e200e861cd50041ac6cc77799ed4936bdcfad7a01b93,"persona legada, fora da descoberta ativa"
.codex/agents/rhodolfo.toml,docs/archive/ai-governance/legacy-agents/codex/rhodolfo.toml,22974,4ee32ec770d377ec1403aa8fbd0673c3c2cdb13142228a80dbd74369e00908bd,"persona legada, fora da descoberta ativa"
.codex/agents/_archive/bernardo.toml,docs/archive/ai-governance/legacy-agents/codex/bernardo.toml,824,448b7e03481b374ac60981d05d176fe9418ebe2f4a79547ae9e404cbe58d1acd,"persona legada, fora da descoberta ativa"
.codex/agents/_archive/claudio.toml,docs/archive/ai-governance/legacy-agents/codex/claudio.toml,398,21a358447b1660cd84e3c01960efeaff52b367075026ff42e232791ebf40fe75,"persona legada, fora da descoberta ativa"
.codex/agents/_archive/felipe.toml,docs/archive/ai-governance/legacy-agents/codex/felipe.toml,607,24664e362428c4b4322dacf092a2e62ff526bc603e605e238c11b3395513c77c,"persona legada, fora da descoberta ativa"
.codex/agents/_archive/gema.toml,docs/archive/ai-governance/legacy-agents/codex/gema.toml,845,bee212fc56b46efb6d361fe9c38c377b80ac68104bbd570534f9da95ae80e7eb,"persona legada, fora da descoberta ativa"
.codex/agents/_archive/marcelo.toml,docs/archive/ai-governance/legacy-agents/codex/marcelo.toml,416,740fb5db99ddfc654c68dafc45c7f2b2a53b426b0015d193cf621fa32475dfd8,"persona legada, fora da descoberta ativa"
.codex/agents/_archive/nina.toml,docs/archive/ai-governance/legacy-agents/codex/nina.toml,544,6b36a6956f17cc3c8595a32380456a2747638be535f2767abd4f69b07a307227,"persona legada, fora da descoberta ativa"
.codex/agents/_archive/otavio.toml,docs/archive/ai-governance/legacy-agents/codex/otavio.toml,490,3b39ca5df7a9d17c9d262d26b34da67df8bcc97566997c39b53923d225dda166,"persona legada, fora da descoberta ativa"
.codex/agents/_archive/taisa.toml,docs/archive/ai-governance/legacy-agents/codex/taisa.toml,451,f7c30c14977937a6e3fbefceb8c43250120e1870cd0ecceb4a87f1f2d6ee3149,"persona legada, fora da descoberta ativa"
.claude/agents/_archive/camilo_2026-07-23_consolidado.md,docs/archive/ai-governance/legacy-agents/claude/camilo_2026-07-23_consolidado.md,15988,7d2dc9db22c933a6048bb1f4a6038186db34df1ddcaa03a861fe223e1347220b,"persona legada, fora da descoberta ativa"
.claude/agents/_archive/claudete_2026-07-23_consolidado.md,docs/archive/ai-governance/legacy-agents/claude/claudete_2026-07-23_consolidado.md,13364,ff44e569f7ef373c6d4a982688b7e18927c1d018925ebe025ea115de4263f91b,"persona legada, fora da descoberta ativa"
.claude/agents/_archive/felipe_2026-07-09_demitido.md,docs/archive/ai-governance/legacy-agents/claude/felipe_2026-07-09_demitido.md,14347,eb9bcfbb6a6bcb7b50de54f592a2326d8fae90a9d89cd6a0eb9ea0ef8d784d40,"persona legada, fora da descoberta ativa"
.claude/agents/_archive/gema_2026-07-10_substituida.md,docs/archive/ai-governance/legacy-agents/claude/gema_2026-07-10_substituida.md,11818,581dcb245db4a60c66aa23de5c388f862dc4798bc6c2b3209415cb46ac3e5aa5,"persona legada, fora da descoberta ativa"
.claude/agents/_archive/juninho_2026-07-23_consolidado.md,docs/archive/ai-governance/legacy-agents/claude/juninho_2026-07-23_consolidado.md,10546,23fdac1730754e4734d7e9afed61a28d2d950e42039b0d9366099330d25e29ea,"persona legada, fora da descoberta ativa"
.claude/agents/_archive/lia_2026-07-23_consolidado.md,docs/archive/ai-governance/legacy-agents/claude/lia_2026-07-23_consolidado.md,12151,ef990e5d5f1aaf36f8bf999f09d5e2c1af0dd8be100dd5afa1c4558c5b423b23,"persona legada, fora da descoberta ativa"
.claude/agents/_archive/rhodolfo_2026-07-23_consolidado.md,docs/archive/ai-governance/legacy-agents/claude/rhodolfo_2026-07-23_consolidado.md,24222,bdf5866c523965b9a2311812492d7b0eeff29195a061b363735fbc7f44ea40f3,"persona legada, fora da descoberta ativa"
